education level,gender,2013 Enrollments,2014 Enrollments,2015 Enrollments
College,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
College,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
College,female,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Graduate,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Graduate,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Graduate,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Graduate,female,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Graduate,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Graduate,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Graduate,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Graduate,female,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Graduate,female,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Graduate,female,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Graduate,female,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Graduate,female,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Graduate,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Graduate,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Graduate,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
High School,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
High School,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Ph.D.,female,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Ph.D.,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Ph.D.,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Ph.D.,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Ph.D.,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Ph.D.,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Ph.D.,Not Specified,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Ph.D.,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Ph.D.,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Ph.D.,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Ph.D.,female,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Ph.D.,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Ph.D.,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
Unknown,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
College,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
College,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
College,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
College,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
College,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
College,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
College,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
College,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
College,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
College,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
College,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
College,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
College,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
College,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
College,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
College,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
College,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,Not Specified,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
