ticker,rank,quarter,nominal,real,relative
IBM,1,01/01/80,37737.0,113647.0,0.758090761164
HPQ,2,01/01/80,3750.0,11293.0,0.0753329717351
TXN,3,01/01/80,2165.0,6521.0,0.0434922356817
MSI,4,01/01/80,1730.0,5211.0,0.0347536109604
INTC,5,01/01/80,1404.0,4227.0,0.0282046646176
HRS,6,01/01/80,965.0,2906.0,0.0193856847265
GLW,7,01/01/80,937.0,2821.0,0.0188231985375
PBI,8,01/01/80,450.0,1354.0,0.00903995660821
CSC,9,01/01/80,265.0,799.0,0.00532353000261
TYL,10,01/01/80,145.0,436.0,0.00291287490709
ADI,11,01/01/80,113.0,340.0,0.00227003354828
AMAT,12,01/01/80,55.0,165.0,0.00110488358545
WDC,13,01/01/80,35.0,106.0,0.000703107736194
SWKS,14,01/01/80,28.0,85.0,0.000562486188955
YHOO,0,01/01/80,0,0,0.0
XLNX,0,01/01/80,0,0,0.0
WDAY,0,01/01/80,0,0,0.0
VRSN,0,01/01/80,0,0,0.0
VMW,0,01/01/80,0,0,0.0
ULTI,0,01/01/80,0,0,0.0
TWTR,0,01/01/80,0,0,0.0
TDC,0,01/01/80,0,0,0.0
SYMC,0,01/01/80,0,0,0.0
STX,0,01/01/80,0,0,0.0
SSNC,0,01/01/80,0,0,0.0
SPLK,0,01/01/80,0,0,0.0
SNPS,0,01/01/80,0,0,0.0
SNDK,0,01/01/80,0,0,0.0
RHT,0,01/01/80,0,0,0.0
QRVO,0,01/01/80,0,0,0.0
QCOM,0,01/01/80,0,0,0.0
PYPL,0,01/01/80,0,0,0.0
PTC,0,01/01/80,0,0,0.0
PANW,0,01/01/80,0,0,0.0
ORCL,0,01/01/80,0,0,0.0
ON,0,01/01/80,0,0,0.0
NXPI,0,01/01/80,0,0,0.0
NVDA,0,01/01/80,0,0,0.0
NUAN,0,01/01/80,0,0,0.0
NTAP,0,01/01/80,0,0,0.0
NOW,0,01/01/80,0,0,0.0
NFLX,0,01/01/80,0,0,0.0
NCR,0,01/01/80,0,0,0.0
N,0,01/01/80,0,0,0.0
MXIM,0,01/01/80,0,0,0.0
MU,0,01/01/80,0,0,0.0
MSFT,0,01/01/80,0,0,0.0
MRVL,0,01/01/80,0,0,0.0
MCHP,0,01/01/80,0,0,0.0
MBLY,0,01/01/80,0,0,0.0
MANH,0,01/01/80,0,0,0.0
LRCX,0,01/01/80,0,0,0.0
LNKD,0,01/01/80,0,0,0.0
LLTC,0,01/01/80,0,0,0.0
KLAC,0,01/01/80,0,0,0.0
JNPR,0,01/01/80,0,0,0.0
IT,0,01/01/80,0,0,0.0
INTU,0,01/01/80,0,0,0.0
IMS,0,01/01/80,0,0,0.0
IM,0,01/01/80,0,0,0.0
IACI,0,01/01/80,0,0,0.0
GRMN,0,01/01/80,0,0,0.0
GOOGL,0,01/01/80,0,0,0.0
GDDY,0,01/01/80,0,0,0.0
FTNT,0,01/01/80,0,0,0.0
FSL,0,01/01/80,0,0,0.0
FFIV,0,01/01/80,0,0,0.0
FEYE,0,01/01/80,0,0,0.0
FB,0,01/01/80,0,0,0.0
EPAM,0,01/01/80,0,0,0.0
EMC,0,01/01/80,0,0,0.0
EBAY,0,01/01/80,0,0,0.0
DST,0,01/01/80,0,0,0.0
DOX,0,01/01/80,0,0,0.0
DATA,0,01/01/80,0,0,0.0
CTXS,0,01/01/80,0,0,0.0
CTSH,0,01/01/80,0,0,0.0
CSCO,0,01/01/80,0,0,0.0
CRM,0,01/01/80,0,0,0.0
COMM,0,01/01/80,0,0,0.0
CHKP,0,01/01/80,0,0,0.0
CERN,0,01/01/80,0,0,0.0
CDW,0,01/01/80,0,0,0.0
CDNS,0,01/01/80,0,0,0.0
CDKVV,0,01/01/80,0,0,0.0
CA,0,01/01/80,0,0,0.0
BRCM,0,01/01/80,0,0,0.0
BRCD,0,01/01/80,0,0,0.0
AVGO,0,01/01/80,0,0,0.0
ATHN,0,01/01/80,0,0,0.0
ARRS,0,01/01/80,0,0,0.0
ANSS,0,01/01/80,0,0,0.0
ANET,0,01/01/80,0,0,0.0
AMZN,0,01/01/80,0,0,0.0
ALTR,0,01/01/80,0,0,0.0
AKAM,0,01/01/80,0,0,0.0
ADSK,0,01/01/80,0,0,0.0
ADBE,0,01/01/80,0,0,0.0
AAPL,0,01/01/80,0,0,0.0
894898,0,01/01/80,0,0,0.0
IBM,1,04/01/80,32246.0,93941.0,0.741031828105
HPQ,2,04/01/80,3539.0,10310.0,0.0813282776054
TXN,3,04/01/80,1999.0,5822.0,0.045938182236
MSI,4,04/01/80,1470.0,4284.0,0.0337814546708
INTC,5,04/01/80,1312.0,3821.0,0.0301505228082
HRS,6,04/01/80,987.0,2875.0,0.0226818338504
GLW,7,04/01/80,883.0,2573.0,0.0202918533839
PBI,8,04/01/80,479.0,1396.0,0.0110076984948
CSC,9,04/01/80,260.0,758.0,0.00597495116626
ADI,10,04/01/80,115.0,336.0,0.002642766862
TYL,11,04/01/80,111.0,325.0,0.00255084453637
AMAT,12,04/01/80,53.0,155.0,0.00121797081466
WDC,13,04/01/80,33.0,95.0,0.000758359186487
SWKS,14,04/01/80,28.0,82.0,0.000643456279444
YHOO,0,04/01/80,0,0,0.0
XLNX,0,04/01/80,0,0,0.0
WDAY,0,04/01/80,0,0,0.0
VRSN,0,04/01/80,0,0,0.0
VMW,0,04/01/80,0,0,0.0
ULTI,0,04/01/80,0,0,0.0
TWTR,0,04/01/80,0,0,0.0
TDC,0,04/01/80,0,0,0.0
SYMC,0,04/01/80,0,0,0.0
STX,0,04/01/80,0,0,0.0
SSNC,0,04/01/80,0,0,0.0
SPLK,0,04/01/80,0,0,0.0
SNPS,0,04/01/80,0,0,0.0
SNDK,0,04/01/80,0,0,0.0
RHT,0,04/01/80,0,0,0.0
QRVO,0,04/01/80,0,0,0.0
QCOM,0,04/01/80,0,0,0.0
PYPL,0,04/01/80,0,0,0.0
PTC,0,04/01/80,0,0,0.0
PANW,0,04/01/80,0,0,0.0
ORCL,0,04/01/80,0,0,0.0
ON,0,04/01/80,0,0,0.0
NXPI,0,04/01/80,0,0,0.0
NVDA,0,04/01/80,0,0,0.0
NUAN,0,04/01/80,0,0,0.0
NTAP,0,04/01/80,0,0,0.0
NOW,0,04/01/80,0,0,0.0
NFLX,0,04/01/80,0,0,0.0
NCR,0,04/01/80,0,0,0.0
N,0,04/01/80,0,0,0.0
MXIM,0,04/01/80,0,0,0.0
MU,0,04/01/80,0,0,0.0
MSFT,0,04/01/80,0,0,0.0
MRVL,0,04/01/80,0,0,0.0
MCHP,0,04/01/80,0,0,0.0
MBLY,0,04/01/80,0,0,0.0
MANH,0,04/01/80,0,0,0.0
LRCX,0,04/01/80,0,0,0.0
LNKD,0,04/01/80,0,0,0.0
LLTC,0,04/01/80,0,0,0.0
KLAC,0,04/01/80,0,0,0.0
JNPR,0,04/01/80,0,0,0.0
IT,0,04/01/80,0,0,0.0
INTU,0,04/01/80,0,0,0.0
IMS,0,04/01/80,0,0,0.0
IM,0,04/01/80,0,0,0.0
IACI,0,04/01/80,0,0,0.0
GRMN,0,04/01/80,0,0,0.0
GOOGL,0,04/01/80,0,0,0.0
GDDY,0,04/01/80,0,0,0.0
FTNT,0,04/01/80,0,0,0.0
FSL,0,04/01/80,0,0,0.0
FFIV,0,04/01/80,0,0,0.0
FEYE,0,04/01/80,0,0,0.0
FB,0,04/01/80,0,0,0.0
EPAM,0,04/01/80,0,0,0.0
EMC,0,04/01/80,0,0,0.0
EBAY,0,04/01/80,0,0,0.0
DST,0,04/01/80,0,0,0.0
DOX,0,04/01/80,0,0,0.0
DATA,0,04/01/80,0,0,0.0
CTXS,0,04/01/80,0,0,0.0
CTSH,0,04/01/80,0,0,0.0
CSCO,0,04/01/80,0,0,0.0
CRM,0,04/01/80,0,0,0.0
COMM,0,04/01/80,0,0,0.0
CHKP,0,04/01/80,0,0,0.0
CERN,0,04/01/80,0,0,0.0
CDW,0,04/01/80,0,0,0.0
CDNS,0,04/01/80,0,0,0.0
CDKVV,0,04/01/80,0,0,0.0
CA,0,04/01/80,0,0,0.0
BRCM,0,04/01/80,0,0,0.0
BRCD,0,04/01/80,0,0,0.0
AVGO,0,04/01/80,0,0,0.0
ATHN,0,04/01/80,0,0,0.0
ARRS,0,04/01/80,0,0,0.0
ANSS,0,04/01/80,0,0,0.0
ANET,0,04/01/80,0,0,0.0
AMZN,0,04/01/80,0,0,0.0
ALTR,0,04/01/80,0,0,0.0
AKAM,0,04/01/80,0,0,0.0
ADSK,0,04/01/80,0,0,0.0
ADBE,0,04/01/80,0,0,0.0
AAPL,0,04/01/80,0,0,0.0
894898,0,04/01/80,0,0,0.0
IBM,1,07/01/80,38090.0,108924.0,0.727255369928
HPQ,2,07/01/80,4291.0,12269.0,0.0819284009547
TXN,3,07/01/80,2659.0,7605.0,0.05076849642
MSI,4,07/01/80,1783.0,5098.0,0.0340429594272
INTC,5,07/01/80,1766.0,5051.0,0.0337183770883
HRS,6,07/01/80,1284.0,3672.0,0.0245155131265
GLW,7,07/01/80,1089.0,3114.0,0.0207923627685
PBI,8,07/01/80,533.0,1523.0,0.0101766109785
CSC,9,07/01/80,333.0,953.0,0.00635799522673
ADI,10,07/01/80,185.0,529.0,0.00353221957041
TYL,11,07/01/80,139.0,398.0,0.00265393794749
AMAT,12,07/01/80,90.0,258.0,0.00171837708831
WDC,13,07/01/80,79.0,227.0,0.00150835322196
SWKS,14,07/01/80,54.0,154.0,0.00103102625298
YHOO,0,07/01/80,0,0,0.0
XLNX,0,07/01/80,0,0,0.0
WDAY,0,07/01/80,0,0,0.0
VRSN,0,07/01/80,0,0,0.0
VMW,0,07/01/80,0,0,0.0
ULTI,0,07/01/80,0,0,0.0
TWTR,0,07/01/80,0,0,0.0
TDC,0,07/01/80,0,0,0.0
SYMC,0,07/01/80,0,0,0.0
STX,0,07/01/80,0,0,0.0
SSNC,0,07/01/80,0,0,0.0
SPLK,0,07/01/80,0,0,0.0
SNPS,0,07/01/80,0,0,0.0
SNDK,0,07/01/80,0,0,0.0
RHT,0,07/01/80,0,0,0.0
QRVO,0,07/01/80,0,0,0.0
QCOM,0,07/01/80,0,0,0.0
PYPL,0,07/01/80,0,0,0.0
PTC,0,07/01/80,0,0,0.0
PANW,0,07/01/80,0,0,0.0
ORCL,0,07/01/80,0,0,0.0
ON,0,07/01/80,0,0,0.0
NXPI,0,07/01/80,0,0,0.0
NVDA,0,07/01/80,0,0,0.0
NUAN,0,07/01/80,0,0,0.0
NTAP,0,07/01/80,0,0,0.0
NOW,0,07/01/80,0,0,0.0
