students,education level,gender,2013 Enrollments,2014 Enrollments,2015 Enrollments
d-158111,College,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-180721,College,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-193295,College,female,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-110373,Graduate,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-134075,Graduate,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-134425,Graduate,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-135224,Graduate,female,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-137771,Graduate,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-138773,Graduate,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-148572,Graduate,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-149333,Graduate,female,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-149844,Graduate,female,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-152482,Graduate,female,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-163948,Graduate,female,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-169896,Graduate,female,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-169966,Graduate,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-170684,Graduate,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-199519,Graduate,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-127378,High School,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-132273,High School,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-112807,Ph.D.,female,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-129542,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-136432,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-136830,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-140687,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-148088,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-149723,Ph.D.,Not Specified,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-151240,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-151782,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-163303,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-185799,Ph.D.,female,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-187599,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-199260,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-100802,Unknown,male,IVMOOC-2013,IVMOOC-2014,IVMOOC-2015
d-100261,College,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-113037,College,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-116700,College,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-123040,College,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-149546,College,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-155271,College,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-157314,College,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-157327,College,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
